LGA	year	ESTIMATED_POPULATION
ALPINE	2005	12372
ARARAT	2005	11452
BALLARAT	2005	85663
BANYULE	2005	117149
BASS COAST	2005	26894
BAW BAW	2005	37079
BAYSIDE	2005	89873
BENALLA	2005	13829
BOROONDARA	2005	158727
BRIMBANK	2005	172749
BULOKE	2005	6995
CAMPASPE	2005	36779
CARDINIA	2005	55173
CASEY	2005	213821
CENTRAL GOLDFIELDS	2005	12493
COLAC OTWAY	2005	20684
CORANGAMITE	2005	16867
DAREBIN	2005	130298
EAST GIPPSLAND	2005	40173
FRANKSTON	2005	118530
GANNAWARRA	2005	11455
GLEN EIRA	2005	126485
GLENELG	2005	20051
GOLDEN PLAINS	2005	16390
BENDIGO	2005	93269
DANDENONG	2005	128054
GEELONG	2005	199996
SHEPPARTON	2005	58419
HEPBURN	2005	13973
HINDMARSH	2005	6189
HOBSONS BAY	2005	82990
HORSHAM	2005	18584
HUME	2005	149059
INDIGO	2005	14919
KINGSTON	2005	137091
KNOX	2005	149362
LATROBE	2005	69939
LODDON	2005	8012
MACEDON RANGES	2005	38998
MANNINGHAM	2005	113432
MANSFIELD	2005	7124
MARIBYRNONG	2005	64137
MAROONDAH	2005	101009
MELBOURNE	2005	76034
MELTON	2005	74316
MILDURA	2005	49981
MITCHELL	2005	30492
MOIRA	2005	26969
MONASH	2005	164949
MOONEE VALLEY	2005	105059
MOORABOOL	2005	25783
MORELAND	2005	138963
MORNINGTON PENINSULA	2005	137759
MOUNT ALEXANDER	2005	17240
MOYNE	2005	15635
MURRINDINDI	2005	13472
NILLUMBIK	2005	61102
NORTHERN GRAMPIANS	2005	12285
PORT PHILLIP	2005	87831
PYRENEES	2005	6603
0	2005	3104
SOUTH GIPPSLAND	2005	26068
SOUTHERN GRAMPIANS	2005	16879
STONNINGTON	2005	92893
STRATHBOGIE	2005	9455
SURF COAST	2005	21819
SWAN HILL	2005	20977
TOWONG	2005	6105
WANGARATTA	2005	26608
WARRNAMBOOL	2005	30553
WELLINGTON	2005	40504
WEST WIMMERA	2005	4583
WHITEHORSE	2005	147344
WHITTLESEA	2005	125893
WODONGA	2005	33597
WYNDHAM	2005	108795
YARRA	2005	71719
YARRA RANGES	2005	142928
YARRIAMBIACK	2005	7715
0	2005	697
ALPINE	2006	12260
ARARAT	2006	11422
BALLARAT	2006	86647
BANYULE	2006	117963
BASS COAST	2006	26941
BAW BAW	2006	37814
BAYSIDE	2006	90807
BENALLA	2006	13807
BOROONDARA	2006	159605
BRIMBANK	2006	174231
BULOKE	2006	6957
CAMPASPE	2006	36969
CARDINIA	2006	57950
CASEY	2006	220440
CENTRAL GOLDFIELDS	2006	12434
COLAC OTWAY	2006	20614
CORANGAMITE	2006	16815
DAREBIN	2006	132299
EAST GIPPSLAND	2006	40544
FRANKSTON	2006	120148
GANNAWARRA	2006	11413
GLEN EIRA	2006	128474
GLENELG	2006	20077
GOLDEN PLAINS	2006	16666
BENDIGO	2006	94577
DANDENONG	2006	130068
GEELONG	2006	201495
SHEPPARTON	2006	58688
HEPBURN	2006	13926
HINDMARSH	2006	6119
HOBSONS BAY	2006	83906
HORSHAM	2006	18770
HUME	2006	152797
INDIGO	2006	15038
KINGSTON	2006	138390
KNOX	2006	150275
LATROBE	2006	70536
LODDON	2006	7922
MACEDON RANGES	2006	39383
MANNINGHAM	2006	113914
MANSFIELD	2006	7357
MARIBYRNONG	2006	65518
MAROONDAH	2006	101430
MELBOURNE	2006	80154
MELTON	2006	80595
MILDURA	2006	50540
MITCHELL	2006	30723
MOIRA	2006	27477
MONASH	2006	167010
MOONEE VALLEY	2006	105717
MOORABOOL	2006	26077
MORELAND	2006	140872
MORNINGTON PENINSULA	2006	139317
MOUNT ALEXANDER	2006	17304
MOYNE	2006	15708
MURRINDINDI	2006	13663
NILLUMBIK	2006	61515
NORTHERN GRAMPIANS	2006	12095
PORT PHILLIP	2006	89641
PYRENEES	2006	6648
0	2006	3086
SOUTH GIPPSLAND	2006	26128
SOUTHERN GRAMPIANS	2006	16858
STONNINGTON	2006	94056
STRATHBOGIE	2006	9509
SURF COAST	2006	22333
SWAN HILL	2006	20950
TOWONG	2006	6097
WANGARATTA	2006	26776
WARRNAMBOOL	2006	30959
WELLINGTON	2006	40682
WEST WIMMERA	2006	4539
WHITEHORSE	2006	149017
WHITTLESEA	2006	128491
WODONGA	2006	33595
WYNDHAM	2006	115161
YARRA	2006	72808
YARRA RANGES	2006	143393
YARRIAMBIACK	2006	7609
0	2006	757
ALPINE	2007	12227
ARARAT	2007	11363
BALLARAT	2007	87796
BANYULE	2007	119362
BASS COAST	2007	27408
BAW BAW	2007	38503
BAYSIDE	2007	92041
BENALLA	2007	13802
BOROONDARA	2007	161308
BRIMBANK	2007	177004
BULOKE	2007	6861
CAMPASPE	2007	37020
CARDINIA	2007	60368
CASEY	2007	228496
