ROAD_ID	LGA
1	WELLINGTON
2	WELLINGTON
3	WELLINGTON
4	WELLINGTON
5	WELLINGTON
6	WELLINGTON
7	WELLINGTON
8	WELLINGTON
9	WELLINGTON
10	WELLINGTON
11	WELLINGTON
12	WELLINGTON
13	WELLINGTON
14	WELLINGTON
15	WELLINGTON
16	WELLINGTON
17	WELLINGTON
18	WELLINGTON
19	WELLINGTON
20	WELLINGTON
21	WELLINGTON
22	WELLINGTON
23	WELLINGTON
24	WELLINGTON
25	WELLINGTON
26	WELLINGTON
27	WELLINGTON
28	WELLINGTON
29	WELLINGTON
30	WELLINGTON
31	WELLINGTON
32	WELLINGTON
33	WELLINGTON
34	WELLINGTON
35	WELLINGTON
36	WELLINGTON
37	WELLINGTON
38	WELLINGTON
39	WELLINGTON
40	WELLINGTON
41	WELLINGTON
42	WELLINGTON
43	WELLINGTON
44	WELLINGTON
45	WELLINGTON
46	WELLINGTON
47	WELLINGTON
48	WELLINGTON
49	WELLINGTON
50	WELLINGTON
51	WELLINGTON
52	WELLINGTON
53	WELLINGTON
54	WELLINGTON
55	WELLINGTON
56	WELLINGTON
57	WELLINGTON
58	WELLINGTON
59	WELLINGTON
60	WELLINGTON
61	WELLINGTON
62	WELLINGTON
63	WELLINGTON
64	WELLINGTON
65	WELLINGTON
66	WELLINGTON
67	WELLINGTON
68	WELLINGTON
69	WELLINGTON
70	WELLINGTON
71	WELLINGTON
72	WELLINGTON
73	WELLINGTON
74	WELLINGTON
75	WELLINGTON
76	STRATHBOGIE
77	STRATHBOGIE
78	STRATHBOGIE
79	STRATHBOGIE
80	STRATHBOGIE
81	STRATHBOGIE
82	STRATHBOGIE
83	STRATHBOGIE
84	STRATHBOGIE
85	STRATHBOGIE
86	STRATHBOGIE
87	STRATHBOGIE
88	STRATHBOGIE
89	STRATHBOGIE
90	STRATHBOGIE
91	STRATHBOGIE
92	STRATHBOGIE
93	STRATHBOGIE
94	STRATHBOGIE
95	STRATHBOGIE
96	HORSHAM
97	HORSHAM
98	HORSHAM
99	HORSHAM
100	HORSHAM
101	HORSHAM
102	HORSHAM
103	HORSHAM
104	HORSHAM
105	HORSHAM
106	HORSHAM
107	HORSHAM
108	HORSHAM
109	HORSHAM
110	HORSHAM
111	HORSHAM
112	HORSHAM
113	HORSHAM
114	SURF COAST
115	SURF COAST
116	SURF COAST
117	SURF COAST
118	SURF COAST
119	SURF COAST
120	SURF COAST
121	SURF COAST
122	SURF COAST
123	SURF COAST
124	SURF COAST
125	SURF COAST
126	SURF COAST
127	SURF COAST
128	SURF COAST
129	SURF COAST
130	SURF COAST
131	SURF COAST
132	SURF COAST
133	SURF COAST
134	SURF COAST
135	SURF COAST
136	SURF COAST
137	SURF COAST
138	SURF COAST
139	SURF COAST
140	SURF COAST
141	SURF COAST
142	SURF COAST
143	SURF COAST
144	SURF COAST
145	SURF COAST
146	SURF COAST
147	SURF COAST
148	SURF COAST
149	SURF COAST
150	SURF COAST
151	SURF COAST
152	SURF COAST
153	SURF COAST
154	SURF COAST
155	SURF COAST
156	SURF COAST
157	SURF COAST
158	SURF COAST
159	SURF COAST
160	SURF COAST
161	SURF COAST
162	SURF COAST
163	SURF COAST
164	SURF COAST
165	SURF COAST
166	SURF COAST
167	SURF COAST
168	SURF COAST
169	SURF COAST
170	SURF COAST
171	SURF COAST
172	SURF COAST
173	SURF COAST
174	SURF COAST
175	SURF COAST
176	SURF COAST
177	SURF COAST
178	SURF COAST
179	SURF COAST
180	SURF COAST
181	SURF COAST
182	SURF COAST
183	SURF COAST
184	SURF COAST
185	SURF COAST
186	SURF COAST
187	SURF COAST
188	SURF COAST
189	SURF COAST
190	SURF COAST
191	SURF COAST
192	SURF COAST
193	SURF COAST
194	SURF COAST
195	SURF COAST
196	SURF COAST
197	SURF COAST
198	SURF COAST
199	SURF COAST
200	SURF COAST
201	SURF COAST
202	SURF COAST
203	SURF COAST
204	SURF COAST
205	SURF COAST
206	SURF COAST
207	SURF COAST
208	SURF COAST
209	SURF COAST
210	SURF COAST
211	SURF COAST
212	SURF COAST
213	SURF COAST
214	SURF COAST
215	SURF COAST
216	SURF COAST
217	SURF COAST
218	SURF COAST
219	SURF COAST
220	SURF COAST
221	SURF COAST
222	SURF COAST
223	SURF COAST
224	SURF COAST
225	SURF COAST
226	SURF COAST
227	SURF COAST
228	SURF COAST
229	SURF COAST
230	SURF COAST
231	SURF COAST
232	SURF COAST
233	SURF COAST
234	SURF COAST
235	SURF COAST
236	SURF COAST
237	SURF COAST
238	SURF COAST
239	SURF COAST
240	SURF COAST
241	SURF COAST
242	SURF COAST
243	SURF COAST
244	SURF COAST
245	SURF COAST
246	SURF COAST
247	SURF COAST
248	SURF COAST
249	SURF COAST
250	SURF COAST
251	SURF COAST
252	SURF COAST
253	SURF COAST
254	SURF COAST
255	SURF COAST
256	SURF COAST
257	SURF COAST
258	SURF COAST
259	SURF COAST
260	SURF COAST
261	SURF COAST
262	SURF COAST
263	SURF COAST
264	SURF COAST
265	SURF COAST
266	SURF COAST
267	SURF COAST
268	SURF COAST
269	SURF COAST
270	SURF COAST
271	SURF COAST
272	SURF COAST
273	SURF COAST
274	SURF COAST
275	SURF COAST
276	SURF COAST
277	SURF COAST
278	ARARAT
279	ARARAT
280	ARARAT
281	ARARAT
282	ARARAT
283	ARARAT
284	ARARAT
285	ARARAT
286	ARARAT
287	ARARAT
288	ARARAT
289	ARARAT
290	ARARAT
291	ARARAT
292	ARARAT
293	ARARAT
294	ARARAT
295	ARARAT
296	ARARAT
297	ARARAT
298	ARARAT
299	ARARAT
300	ARARAT
301	ARARAT
302	ARARAT
303	ARARAT
304	ARARAT
305	ARARAT
306	ARARAT
307	ARARAT
308	ARARAT
309	ARARAT
310	ARARAT
311	ARARAT
312	ARARAT
313	ARARAT
314	ARARAT
315	ARARAT
316	ARARAT
317	ARARAT
318	ARARAT
319	ARARAT
320	ARARAT
321	ARARAT
322	ARARAT
323	ARARAT
324	ARARAT
325	ARARAT
326	ARARAT
327	ARARAT
328	ARARAT
329	ARARAT
330	ARARAT
331	ARARAT
332	ARARAT
333	ARARAT
334	ARARAT
335	ARARAT
336	ARARAT
337	ARARAT
338	ARARAT
339	ARARAT
340	ARARAT
341	ARARAT
342	ARARAT
343	ARARAT
344	ARARAT
345	ARARAT
346	ARARAT
347	ARARAT
348	ARARAT
349	ARARAT
350	ARARAT
351	ARARAT
352	ARARAT
353	ARARAT
354	ARARAT
355	ARARAT
356	ARARAT
357	ARARAT
358	ARARAT
359	ARARAT
360	ARARAT
361	ARARAT
362	ARARAT
363	ARARAT
364	ARARAT
365	ARARAT
366	ARARAT
367	ARARAT
368	ARARAT
369	ARARAT
370	ARARAT
371	ARARAT
372	ARARAT
373	ARARAT
374	ARARAT
375	ARARAT
376	ARARAT
377	ARARAT
378	ARARAT
379	ARARAT
380	ARARAT
381	ARARAT
382	ARARAT
383	ARARAT
384	ARARAT
385	ARARAT
386	ARARAT
387	ARARAT
388	ARARAT
389	ARARAT
390	ARARAT
391	ARARAT
392	ARARAT
393	SURF COAST
394	SURF COAST
395	SURF COAST
396	SURF COAST
397	SURF COAST
398	SURF COAST
399	SURF COAST
400	SURF COAST
401	SURF COAST
402	SURF COAST
403	SURF COAST
404	SURF COAST
405	SURF COAST
406	SURF COAST
407	SURF COAST
408	SURF COAST
409	SURF COAST
410	SURF COAST
411	SURF COAST
412	SURF COAST
413	SURF COAST
414	SURF COAST
415	SURF COAST
416	SURF COAST
417	SURF COAST
418	SURF COAST
419	SURF COAST
420	SURF COAST
421	SURF COAST
422	SURF COAST
423	SURF COAST
424	SURF COAST
425	SURF COAST
426	SURF COAST
427	SURF COAST
428	SURF COAST
429	SURF COAST
430	SURF COAST
431	SURF COAST
432	SURF COAST
433	SURF COAST
434	SURF COAST
435	SURF COAST
436	SURF COAST
437	SURF COAST
438	SURF COAST
439	SURF COAST
440	SURF COAST
441	SURF COAST
442	SURF COAST
443	SURF COAST
444	SURF COAST
445	SURF COAST
446	SURF COAST
447	SURF COAST
448	SURF COAST
449	SURF COAST
450	SURF COAST
451	SURF COAST
452	SURF COAST
453	SURF COAST
454	SURF COAST
455	SURF COAST
456	SURF COAST
457	SURF COAST
458	SURF COAST
459	SURF COAST
460	SURF COAST
461	SURF COAST
462	SURF COAST
463	SURF COAST
464	SURF COAST
465	SURF COAST
466	SURF COAST
467	SURF COAST
468	SURF COAST
469	SURF COAST
470	SURF COAST
471	SURF COAST
472	SURF COAST
473	SURF COAST
474	SURF COAST
475	SURF COAST
476	SURF COAST
477	SURF COAST
478	SURF COAST
479	SURF COAST
480	SURF COAST
481	SURF COAST
482	SURF COAST
483	SURF COAST
484	SURF COAST
485	SURF COAST
486	SURF COAST
487	SURF COAST
488	SURF COAST
489	SURF COAST
490	SURF COAST
491	SURF COAST
492	SURF COAST
493	SURF COAST
494	SURF COAST
495	SURF COAST
496	SURF COAST
497	SURF COAST
498	SURF COAST
499	SURF COAST
500	SURF COAST
501	SURF COAST
502	SURF COAST
503	SURF COAST
504	SURF COAST
505	SURF COAST
506	SURF COAST
507	SURF COAST
508	SURF COAST
509	SURF COAST
510	SURF COAST
511	SURF COAST
512	SURF COAST
513	SURF COAST
514	SURF COAST
515	SURF COAST
516	SURF COAST
517	SURF COAST
518	SURF COAST
519	SURF COAST
520	SURF COAST
521	SURF COAST
522	SURF COAST
523	SURF COAST
524	SURF COAST
525	SURF COAST
526	SURF COAST
527	SURF COAST
528	SURF COAST
529	SURF COAST
530	SURF COAST
531	SURF COAST
532	SURF COAST
533	SURF COAST
534	SURF COAST
535	SURF COAST
536	SURF COAST
537	SURF COAST
538	SURF COAST
539	SURF COAST
540	SURF COAST
541	SURF COAST
542	SURF COAST
543	SURF COAST
544	SURF COAST
545	SURF COAST
546	SURF COAST
547	SURF COAST
548	SURF COAST
549	SURF COAST
550	SURF COAST
551	SURF COAST
552	SURF COAST
553	SURF COAST
554	SURF COAST
555	SURF COAST
556	SURF COAST
557	SURF COAST
558	SURF COAST
559	SURF COAST
560	SURF COAST
561	SURF COAST
562	SURF COAST
563	SURF COAST
564	SURF COAST
565	SURF COAST
566	SURF COAST
567	SURF COAST
568	SURF COAST
569	SURF COAST
570	SURF COAST
571	SURF COAST
572	SURF COAST
573	SURF COAST
574	SURF COAST
575	SURF COAST
576	SURF COAST
577	SURF COAST
578	SURF COAST
579	SURF COAST
580	SURF COAST
581	SURF COAST
582	SURF COAST
583	SURF COAST
584	SURF COAST
585	SURF COAST
586	SURF COAST
587	SURF COAST
588	SURF COAST
589	SURF COAST
590	SURF COAST
591	SURF COAST
592	SURF COAST
593	SURF COAST
594	SURF COAST
595	SURF COAST
596	SURF COAST
597	SURF COAST
598	SURF COAST
599	SURF COAST
600	SURF COAST
601	SURF COAST
602	SURF COAST
603	SURF COAST
604	SURF COAST
605	SURF COAST
606	SURF COAST
607	SURF COAST
608	SURF COAST
609	SURF COAST
610	SURF COAST
611	SURF COAST
612	SURF COAST
613	SURF COAST
614	SURF COAST
615	SURF COAST
616	SURF COAST
617	SURF COAST
618	SURF COAST
619	SURF COAST
620	SURF COAST
621	SURF COAST
622	SURF COAST
623	SURF COAST
624	SURF COAST
625	SURF COAST
626	SURF COAST
